decision_time,direction,confidence,entry_btc,exit_btc,btc_up,correct,pnl,vol_regime,hour
2026-05-05T00:54:00+00:00,short,0.6773,80161.85,80127.69,False,True,1.0,LOW,0
2026-05-05T02:09:00+00:00,short,0.6033,80442.81,80440.91,False,True,1.0,LOW,2
2026-05-05T02:39:00+00:00,short,0.645,80722.37,80792.53,True,False,-1.0,LOW,2
2026-05-05T03:24:00+00:00,short,0.57,80811.97,80788.06,False,True,1.0,LOW,3
2026-05-05T05:24:00+00:00,short,0.57,81155.69,81035.77,False,True,1.0,LOW,5
2026-05-05T05:54:00+00:00,long,0.6033,81026.05,80991.49,False,False,-1.0,LOW,5
2026-05-05T10:54:00+00:00,long,0.77,80724.94,80797.97,True,True,1.0,LOW,10
2026-05-05T11:09:00+00:00,short,0.6033,80839.51,80923.05,True,False,-1.0,LOW,11
2026-05-05T11:39:00+00:00,short,0.6033,81020.74,81034.32,True,False,-1.0,LOW,11
2026-05-05T13:09:00+00:00,short,0.627,81587.72,81555.4,False,True,1.0,LOW,13
2026-05-05T14:54:00+00:00,short,0.847,81360.0,81278.81,False,True,1.0,LOW,14
2026-05-05T16:39:00+00:00,long,0.57,81134.0,81139.99,True,True,1.0,LOW,16
2026-05-05T16:54:00+00:00,short,0.77,81261.96,81280.43,True,False,-1.0,LOW,16
2026-05-05T21:39:00+00:00,long,0.77,81420.07,81379.73,False,False,-1.0,LOW,21
2026-05-05T21:54:00+00:00,short,0.77,81491.99,81484.01,False,True,1.0,LOW,21
2026-05-05T22:39:00+00:00,long,0.57,81009.3,81008.78,False,False,-1.0,LOW,22
2026-05-05T23:24:00+00:00,long,0.6033,81055.01,80892.0,False,False,-1.0,LOW,23
2026-05-05T23:39:00+00:00,long,0.6033,80838.95,80947.21,True,True,1.0,LOW,23
2026-05-06T00:09:00+00:00,short,0.6773,81089.84,81201.0,True,False,-1.0,LOW,0
2026-05-06T00:24:00+00:00,long,0.8085,80998.38,80949.29,False,False,-1.0,LOW,0
2026-05-06T03:24:00+00:00,short,0.57,81651.32,81600.93,False,True,1.0,LOW,3
2026-05-06T05:39:00+00:00,long,0.645,81067.73,81185.05,True,True,1.0,LOW,5
2026-05-06T05:54:00+00:00,short,0.6033,81230.31,81353.84,True,False,-1.0,LOW,5
2026-05-06T10:24:00+00:00,short,0.645,82174.0,82193.25,True,False,-1.0,LOW,10
2026-05-06T11:24:00+00:00,long,0.6033,82761.29,82688.28,False,False,-1.0,LOW,11
2026-05-06T12:09:00+00:00,long,0.645,82353.71,82304.8,False,False,-1.0,LOW,12
2026-05-06T13:09:00+00:00,short,0.847,82025.41,82128.01,True,False,-1.0,LOW,13
2026-05-06T14:09:00+00:00,long,0.572,81429.93,81500.93,True,True,1.0,LOW,14
2026-05-06T14:24:00+00:00,short,0.847,81589.25,81730.01,True,False,-1.0,LOW,14
2026-05-06T15:39:00+00:00,long,0.7095,81505.24,81719.83,True,True,1.0,LOW,15
2026-05-06T15:54:00+00:00,short,0.6637,81745.8,81700.36,False,True,1.0,LOW,15
2026-05-06T16:24:00+00:00,long,0.645,81596.64,81510.0,False,False,-1.0,LOW,16
2026-05-06T18:39:00+00:00,long,0.645,81321.06,81407.62,True,True,1.0,LOW,18
2026-05-06T19:39:00+00:00,short,0.645,81442.77,81445.65,True,False,-1.0,LOW,19
2026-05-06T20:39:00+00:00,long,0.6033,81382.24,81382.28,True,True,1.0,LOW,20
2026-05-06T21:09:00+00:00,short,0.645,81495.15,81390.13,False,True,1.0,LOW,21
2026-05-06T21:39:00+00:00,short,0.645,81593.87,81562.39,False,True,1.0,LOW,21
2026-05-06T22:09:00+00:00,long,0.645,81382.3,81367.43,False,False,-1.0,LOW,22
2026-05-06T22:24:00+00:00,long,0.6033,81307.48,81296.25,False,False,-1.0,LOW,22
2026-05-06T23:54:00+00:00,short,0.645,81440.72,81449.99,True,False,-1.0,LOW,23
2026-05-07T00:24:00+00:00,long,0.6773,81286.0,81239.23,False,False,-1.0,LOW,0
2026-05-07T00:39:00+00:00,long,0.6335,81120.0,81058.0,False,False,-1.0,LOW,0
2026-05-07T02:09:00+00:00,long,0.645,81014.84,80968.97,False,False,-1.0,LOW,2
2026-05-07T02:54:00+00:00,short,0.645,81086.03,81092.47,True,False,-1.0,LOW,2
2026-05-07T04:09:00+00:00,long,0.6033,80771.8,80869.21,True,True,1.0,LOW,4
2026-05-07T04:24:00+00:00,short,0.6033,80927.99,80930.0,True,False,-1.0,LOW,4
2026-05-07T04:54:00+00:00,short,0.645,80989.58,81035.16,True,False,-1.0,LOW,4
2026-05-07T10:24:00+00:00,long,0.645,80800.0,80686.83,False,False,-1.0,LOW,10
2026-05-07T11:54:00+00:00,long,0.6033,80859.5,80860.42,True,True,1.0,LOW,11
2026-05-07T12:54:00+00:00,short,0.645,81160.83,81089.82,False,True,1.0,LOW,12
2026-05-07T13:39:00+00:00,long,0.627,80692.0,80478.38,False,False,-1.0,LOW,13
2026-05-07T14:39:00+00:00,long,0.572,80139.5,80167.96,True,True,1.0,LOW,14
2026-05-07T15:24:00+00:00,long,0.627,79834.88,79900.0,True,True,1.0,LOW,15
